CODE;PATH;EPSG;ENDING_ELEMENT_A;ENDING_ELEMENT_B;STATUS;MANUFACTURER;TYPE;COLOR_PATTERN;CAPACITY;MEASURED_LENGTH;TUBES;DIAMETER;OWNER;ENVIRONMENT;INSTALLATION_DATE;MANUFACTURE_DATE;MAP_COLOR;COMMENTS
BAM-CL010-J14118-SB42125;LINESTRING(-2.1754219 53.61414304,-2.175421 53.614164,-2.175518 53.614387,-2.175569 53.614491,-2.175644 53.61448,-2.17565289 53.61447637);4326;sbox-d794-8ef8bb8f-d3d2fa24-7f40ae7f;xxxx-5705-eb4379e9-30a94372-ea90177e;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;45.85;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-SJ14111-J14119;LINESTRING(-2.17357608 53.614441750000005,-2.17357608 53.61444175,-2.173576 53.614442,-2.173589 53.614439,-2.173613 53.614435,-2.173845 53.614401,-2.174091 53.614359,-2.174096 53.614356,-2.17409632 53.61435635);4326;sbox-991a-534cacee-24777279-97b12b0d;sbox-7285-b5068fae-bebe8100-0d45c4f0;1;48 f.o.;48 f.o.;xxxx-57bd-670f79d5-d087cb81-4effdf09;48;35.76;4;;Digital Infrastructure;;;;#bd264b;
BAM-CL010-J14118-J14121;LINESTRING(-2.1754219 53.61414304,-2.17543 53.614143,-2.175458 53.614136,-2.175704 53.614096,-2.17571264 53.61409309,-2.17571264 53.614093090000004);4326;sbox-d794-8ef8bb8f-d3d2fa24-7f40ae7f;sbox-beba-01f872a0-a5014b29-7be197c8;1;48 f.o.;48 f.o.;xxxx-57bd-670f79d5-d087cb81-4effdf09;48;20.08;4;;Digital Infrastructure;;;;#bd264b;
BAM-CL010-J14119-SB42129;LINESTRING(-2.17409632 53.61435635,-2.174097 53.61436,-2.174204 53.61453,-2.174223 53.614557,-2.174249 53.61459,-2.174255 53.614607,-2.174283 53.614601,-2.174306 53.614605,-2.174331 53.614617,-2.174367 53.614648,-2.174375 53.614665,-2.17437788 53.61466728);4326;sbox-7285-b5068fae-bebe8100-0d45c4f0;xxxx-c462-c28567a9-1f9017f9-0c5d9fb2;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;42.01;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-J14121-SB42132;LINESTRING(-2.17571264 53.614093090000004,-2.17571264 53.61409309,-2.175703 53.614079,-2.175696 53.61406,-2.17562 53.613796,-2.175588 53.613673,-2.175586 53.61366,-2.17558636 53.61365499);4326;sbox-beba-01f872a0-a5014b29-7be197c8;xxxx-b419-94315372-1ee0b84f-a385ad83;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;49.53;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-SB42125-SB42126;LINESTRING(-2.17565289 53.61447637,-2.17657307 53.61434186);4326;xxxx-5705-eb4379e9-30a94372-ea90177e;xxxx-3038-021ca17c-595e7c46-d68d92f2;1;12 f.o. ULW;12 f.o. ULW;xxxx-7831-3380800b-1b36ac22-50644323;12;62.71;1;;Digital Infrastructure;;;;#fce700;AERIAL
BAM-CL010-SJ14111-SB42113;LINESTRING(-2.17357608 53.614441750000005,-2.17357608 53.61444175,-2.173577 53.614464,-2.173626 53.614558,-2.17369 53.614629,-2.17369389 53.61463025);4326;sbox-991a-534cacee-24777279-97b12b0d;xxxx-8184-d6936f9d-698e7c17-0df9bb05;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;22.69;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-SB42113-J14114;LINESTRING(-2.17369389 53.61463025,-2.173694 53.614635,-2.173739 53.614698,-2.173743 53.614725,-2.173734 53.61475,-2.173722 53.614765,-2.173672 53.614791,-2.17367072 53.61479369);4326;xxxx-8184-d6936f9d-698e7c17-0df9bb05;sbox-1f9d-e1cb09fd-23c41777-df21dd1e;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;20.56;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-SB42133-SB42134;LINESTRING(-2.17504203 53.61370224,-2.17446775 53.61367896);4326;xxxx-f92e-8ffd5daf-5384814e-154c54a4;xxxx-a4df-4f3813bd-465d698f-6a4a0a36;1;12 f.o. ULW;12 f.o. ULW;xxxx-7831-3380800b-1b36ac22-50644323;12;38.09;1;;Digital Infrastructure;;;;#fce700;AERIAL
BAM-CL010-SB42132-SB42133;LINESTRING(-2.17558636 53.61365499,-2.17504203 53.61370224);4326;xxxx-b419-94315372-1ee0b84f-a385ad83;xxxx-f92e-8ffd5daf-5384814e-154c54a4;1;12 f.o. ULW;12 f.o. ULW;xxxx-7831-3380800b-1b36ac22-50644323;12;36.41;1;;Digital Infrastructure;;;;#fce700;AERIAL
BAM-CL010-SB42110-SB42107;LINESTRING(-2.17337218 53.614485110000004,-2.17337218 53.61448511,-2.173351 53.614488,-2.173275 53.614498,-2.173087 53.61453,-2.172824 53.614585,-2.172798 53.614597,-2.172569 53.614643,-2.172334 53.614698,-2.171988 53.614787,-2.171889 53.614812,-2.171861 53.614816,-2.171851 53.614807,-2.17184962 53.61480409);4326;xxxx-8a88-95d5ed1a-644c177d-09ff9dd8;xxxx-1e0c-053cca37-f8813533-0574d6fe;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;108.38;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-J14119-J14118;LINESTRING(-2.17409632 53.61435635,-2.174103 53.614358,-2.174139 53.614352,-2.174649 53.614269,-2.175038 53.614207,-2.175186 53.614183,-2.175207 53.614179,-2.175332 53.614154,-2.175402 53.614147,-2.175414 53.614146,-2.1754219 53.61414304);4326;sbox-7285-b5068fae-bebe8100-0d45c4f0;sbox-d794-8ef8bb8f-d3d2fa24-7f40ae7f;1;48 f.o.;48 f.o.;xxxx-57bd-670f79d5-d087cb81-4effdf09;48;91.06;4;;Digital Infrastructure;;;;#bd264b;
BAM-CL010-SJ14111-SB42110;LINESTRING(-2.17357608 53.614441750000005,-2.17357608 53.61444175,-2.173567 53.614445,-2.173378 53.614485,-2.17337218 53.61448511,-2.17337218 53.614485110000004);4326;sbox-991a-534cacee-24777279-97b12b0d;xxxx-8a88-95d5ed1a-644c177d-09ff9dd8;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;14.36;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-J14114-SB42121;LINESTRING(-2.17367072 53.61479369,-2.173668 53.614796,-2.17365 53.6148,-2.17364399 53.61480084);4326;sbox-1f9d-e1cb09fd-23c41777-df21dd1e;xxxx-77d1-59a8f414-b245d960-4dde7e36;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;1.99;1;;Digital Infrastructure;;;;#ff9900;
BAM-CL010-J14114-SB42123;LINESTRING(-2.17367072 53.61479369,-2.173637 53.614798,-2.17364 53.614812,-2.173785 53.61499,-2.17379069 53.6149915);4326;sbox-1f9d-e1cb09fd-23c41777-df21dd1e;xxxx-dd15-e092b509-6d00216e-fb1eb8cb;1;12 f.o.;12 f.o.;xxxx-2cd2-52083e60-32038787-d609100c;12;26.28;1;;Digital Infrastructure;;;;#ff9900;
